title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,picture_url,recipe_urls
Basic omelette recipe,Easy,Serves 1,Visit us on Facebook,82 ratings,True,False,False,False,True,Prep:5 mins,,"['3 eggs, beaten', '1 tsp sunflower oil', '1 tsp butter']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/omelette-3cba9f8.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/basic-omelette
Burnt basque cheesecake,Easy,Serves 12 - 15,A star rating of 4.7 out of 5.,29 ratings,True,False,False,False,False,Prep:10 mins,,"['butter, for the tin', 'soft cheese', '225g caster sugar', '2 tbsp plain flour', 'soured cream', '4 medium eggs', '2 tsp vanilla']","https://images.immediate.co.uk/production/volatile/sites/30/2021/07/Burnt-Basque-cheesecake-8da80ff.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/burnt-basque-cheesecake
Sourdough pancakes,Easy,makes around 12 pancakes,Visit us on Facebook,25 ratings,True,False,False,False,False,Prep:20 mins,,"['200g self-raising flour', '1 tbsp golden caster sugar', '1 tsp baking powder', ""sourdough starter (active or the excess you'd throw away)"", '2 eggs', '260ml milk', '50g butter,  melted, plus extra butter for frying', 'sunflower oil, for cooking', 'maple syrup,  to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2020/12/sourdough-pancakes-85447c5.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/sourdough-pancakes
Vegan chocolate cake,Easy,Serves 10 - 12,Visit us on Facebook,67 ratings,True,True,True,False,False,Prep:35 mins,,"['dairy-free spread,', 'dairy-free milk', 'cider vinegar', '300g self-raising flour', '200g golden caster sugar', 'cocoa powder', '1 tsp bicarbonate of soda', '½ tsp vanilla extract', '100g dairy-free dark chocolate', 'dairy-free spread', '400g icing sugar', 'cocoa powder', 'dairy-free milk,', ' such as cherries, blackberries or figs']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/vegan-choc-cake-1905166.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/vegan-chocolate-cake
No-fuss shepherd's pie,Easy,Serves 4,Visit us on Facebook,563 ratings,False,False,False,False,False,Prep:15 mins,,"['1 tbsp sunflower oil', '1 large onion, chopped', '2-3 medium carrots, chopped', '500g pack lamb mince', 'tomato purée', 'Worcestershire sauce', 'beef stock', 'potatoes,', '85g butter', '3 tbsp milk']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1035601_12-ae7f0ff.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/no-fuss-shepherds-pie
Creamy Tuscan chicken,Easy,Serves 4,A star rating of 4.8 out of 5.,47 ratings,False,False,False,False,False,Prep:10 mins,,"['2 tbsp plain flour', '1 tbsp smoked paprika', '2 tsp oregano', '4 skin-on chicken breasts', 'sundried tomatoes,', '4 garlic cloves, finely grated or crushed', 'white wine', 'chicken stock', '200g spinach', '150ml double cream', 'grated parmesan', 'cooked rice, to serve', 'small handful of parsley, chopped']","https://images.immediate.co.uk/production/volatile/sites/30/2023/02/Tuscan-chicken-15f0b8f.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/tuscan-chicken
Beef stroganoff,Easy,Serves 4,Visit us on Facebook,272 ratings,False,False,False,False,False,Prep:10 mins,,"['1 tbsp olive oil', '1 onion, sliced ', '1 clove of  garlic', '1 tbsp butter', '250g mushrooms, sliced', '1 tbsp plain flour', 'fillet steak,', '150g crème fraîche', '1 tsp English mustard', 'beef stock', '½ small pack of parsley, chopped  ']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/beefstroganoff-d53f55e.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/beef-stroganoff
Easy lemonade,Easy,Makes about 1.25 litres,Visit us on Pinterest,108 ratings,True,False,False,False,False,Prep:10 mins,,"['3 unwaxed lemons, roughly chopped ', '140g caster sugar', 'cold water']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-559606_11-d900fed.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/really-easy-lemonade
Homemade cherry pie,More effort,Serves 8-10,Visit us on Twitter,14 ratings,True,False,False,False,False,Prep:40 mins,,"['400g plain flour, plus a little for dusting', '50g ground almonds, plus 2 tbsp', '225g cold  butter', '75g white caster sugar', '2 egg yolks', '800g cherries', 'cherry jam', '50g caster sugar, plus a little for sprinkling', 'cornflour', '1 egg white, beaten']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/cherry-pie-c17ad3c.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/cherry-pie
Spaghetti & meatballs,Easy,Makes about 10 servings,Visit us on Pinterest,262 ratings,False,False,False,False,False,Prep:30 mins,,"['good-quality pork sausages', '1 kg beef mince', '1 onion,  finely chopped', '½ a large bunch  flat-leaf parsley,  finely chopped', '85g parmesan,  grated, plus extra to serve (optional)', 'fresh breadcrumbs', '2 eggs,  beaten with a fork', 'olive oil,  for roasting', '  to serve (about 100g per portion)', '3 tbsp olive oil', '4 garlic cloves,  crushed', '4 x 400g cans  chopped tomatoes', 'red wine', '3 tbsp caster sugar', '½ a large bunch of flat-leaf parsley,  finely chopped', 'few basil leaves (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1035708_10-fdc5ae0.jpg?quality=90&resize=440,400",https://www.bbcgoodfood.com/recipes/spaghetti-meatballs
