title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,picture_url,methods,recipe_urls
Snowball cookies,Easy,Serves 10,Visit us on Facebook,1 rating,True,False,False,False,False,Prep:10 mins,,"['100g pecans', '70g plain flour', '50g softened butter', '25g caster sugar', '1 orange, zested', '2 tbsp icing sugar, plus extra for dusting']","https://images.immediate.co.uk/production/volatile/sites/30/2021/11/Snowball-cookies-a522e11.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/snowball-cookies
Salmon en papillote with dill creme fraiche,Easy,Serves 2,Visit us on Instagram,0 reviews,False,False,False,False,False,Prep:20 mins,,"['2 x 120g  skinless, boneless salmon fillets', '½ lemon', '2 tsp olive oil or butter ', '50g crème fraîche', 'garlic mayonnaise  ', 'chopped fresh dill']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerSalmonEnPapilloteDillCremeFraiche-c423de5.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/salmon-en-papillote-with-dill-creme-fraiche
Puttanesca baked gnocchi,Easy,Serves 4,Visit us on Facebook,60 ratings,False,False,False,False,False,Prep:5 mins,,"['2 x 400g cans cherry tomatoes', 'olive oil, for frying', '1 onion, finely chopped', '1 tsp chilli flakes', '1 tbsp capers, drained', '60g black pitted Kalamata olives, roughly chopped', '5 anchovy fillets in oil, finely chopped', 'sugar', '500g shop-bought gnocchi', 'mozzarella']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/puttanesca-baked-gnocchi-0707825.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/puttanesca-baked-gnocchi
Easy mini beef wellingtons,Easy,Serves 2,Visit us on Instagram,0 reviews,False,False,False,False,False,Prep:15 mins,,"['beef fillet steaks ', '1 tsp olive oil', 'puff pastry sheet', 'roasted mushroom pâté', 'Parma ham', '1 egg, beaten']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/AirFryerMiniBeefWellington-c256b41.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/easy-mini-beef-wellingtons
Vegan chickpea curry jacket potatoes,Easy,Serves 4,Visit us on Facebook,87 ratings,True,True,True,False,True,Prep:15 mins,,"['4 sweet potatoes', '1 tbsp coconut oil', '1 ½ tsp  cumin seeds', '1 large onion, diced', '2 garlic cloves, crushed', 'thumb-sized piece of ginger, finely grated', '1 green chilli, finely chopped', '1 tsp garam masala', 'ground coriander', '½ tsp turmeric', 'tikka masala paste', '2 x 400g can  chopped tomatoes', 'chickpeas', 'lemon wedges and coriander leaves, to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sweet-potato-curry-46f4bc8.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/vegan-chickpea-curry-jacket-potato
Roasted pepper shakshuka,Easy,Serves 4,Visit us on Facebook,1 rating,True,False,False,False,False,Prep:20 mins,,"['2 peppers', '1 tbsp olive oil', '3 garlic cloves, crushed', '2 x 400g can chopped tomatoes', 'ras el hanout', '4-8  eggs', 'flatbreads', 'coriander']","https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Roasted-pepper-shakshuka-2b2f8b3.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/roasted-pepper-shakshuka
Spiced sage parsnips,Easy,Serves 4,Visit us on Instagram,0 reviews,True,False,False,False,True,Prep:10 mins,,"['750g parsnips (no need to peel),  scrubbed, trimmed and halved or quartered lengthways', 'vegetable oil ', 'handful of  sage, finely chopped', '½ tsp ground mace or nutmeg ', '2 tsp honey ']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/Spiced-sage-parsnips-67a118b.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/spiced-sage-parsnips
Sausage & sweet potato traybake,Easy,Serves 4 - 6,Visit us on Facebook,27 ratings,False,False,False,False,False,Prep:15 mins,,"['2 red onions, peeled and quartered', '2 corn cobs, cut into 4-6 pieces', 'mango', '2 large sweet potatoes, cut into wedges', 'pork sausages', '2 tsp ground cumin', '2 tsp paprika', '2 tsp fennel seeds', '2 tsp dried oregano', 'barbecue sauce', '2 tbsp olive oil (or vegetable or rapeseed oil)', ', chopped', 'chillies, chopped']","https://images.immediate.co.uk/production/volatile/sites/30/2020/10/Sausage-Sweet-Potato-Bake-eaa36e6.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/sausage-sweet-potato-traybake
Christmas leftovers pizza,Easy,Serves 2,Visit us on Twitter,1 rating,False,False,False,False,False,Prep:15 mins,,"['pizza base mix', 'tomato pasta sauce', 'leftover stuffing', 'large handful (about 100g) of leftover cooked turkey, shredded', 'mozzarella,', 'small bunch of sage, leaves picked', '1 tbsp olive oil']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/pizza_2-5a1fe2f.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/christmas-pizza
Turkey cobb salad,Easy,Serves 8,Visit us on Instagram,0 reviews,False,False,False,False,True,Prep:25 mins,,"['6 eggs', '50g (about 7) thin slices pancetta', '50ml rapeseed oil', 'cider vinegar', '1⁄2 tbsp Dijon mustard', '1 tbsp finely chopped parsley', '1 small garlic clove, finely grated', '500g cooked turkey breast, sliced', '3 heads of mixed chicory, leaves separated', '2 medium avocados, peeled, stoned and sliced', '4 medium tomatoes, quartered', 'mixed seeds']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/turkey-cobb-salad-58e38b4.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/turkey-cobb-salad
